#species_name	AACB_HE	AACB_consistency
Acaryochloris_marina	0.009205845850623184	0.010505911116024929
Acidovorax_avenae	0.023751604173003815	0.008839619422962117
Acinetobacter_ADP1	0.03687996124065453	0.011085824021192422
Actinobacillus_pleuropneumoniae	0.02421717175171985	0.009491622114548416
Aeromonas_hydrophila	0.02207009821432477	0.007835289136144806
Aeropyrum_pernix	0.016128227303275032	0.017770204268333062
Agrobacterium_tumefaciens_C58	0.026278798291855945	0.008529972722812598
Alcanivorax_borkumensis	0.03614740948339844	0.009581509578379393
Anabaena_variabilis	0.01839888623056555	0.009391331485782955
Anaeromyxobacter_dehalogenans	0.023561189138031104	0.00918070301687313
Anaplasma_marginale	0.013453661406047165	0.00852097449475065
Anaplasma_phagocytophilum	0.02190604921844789	0.008586866387965209
Aquifex_aeolicus	0.0201860458193243	0.010124810446451549
Archaeoglobus_fulgidus	0.007987260071476961	0.014365145098046553
Arcobacter_butzleri	0.03187097327507256	0.007489675881016081
Arthrobacter_aurescens	0.02291753708817676	0.008958334066318562
Azoarcus_sp_EbN1	0.026950161858596045	0.010925274747587938
Bacillus_anthracis_Ames	0.023459554680627766	0.00746192615278063
Bacillus_cereus_ATCC_14579	0.01880491591623839	0.00713106746809619
Bacillus_halodurans	0.016055332014603938	0.008315262109366905
Bacillus_licheniformis_ATCC14580	0.02685958169279898	0.008125878397852773
Bacillus_subtilis_168	0.019955678316511995	0.007371867122976589
Bacillus_thuringiensis_konkukian_97-27	0.02419121856661867	0.007494232226145385
Bacteroides_fragilis	0.020163988188299627	0.00985938747349188
Bacteroides_thetaiotaomicron_VPI5482	0.02311352230020227	0.008887883783333087
Bartonella_henselae_Houston-1	0.020665685003247655	0.009524357440966132
Bartonella_quintana_Toulouse	0.027849403311632742	0.01063210951203018
Bdellovibrio_bacteriovorus	0.02183942656594404	0.007815239609326048
Bifidobacterium_longum_NCC2705_	0.026061894430706823	0.011274030386461402
Bordetella_bronchiseptica_RB50	0.02424723357201925	0.008822244745609708
Bordetella_pertussis_12822	0.022589146827126327	0.00932210397136706
Borrelia_burgdorferi	0.019341118008707366	0.010156001623258451
Borrelia_garinii_PBi	0.02496987479975814	0.009843650012663156
Bradyrhizobium_japonicum_USDA110	0.025170615099148842	0.008816089849402483
Brucella_abortus_biovar1_9-941	0.028062399914672218	0.008032787916188468
Brucella_melitensis_16M	0.024530599522957188	0.007671435781394062
Brucella_suis_1330_	0.02675749878534161	0.007997672220744162
Buchnera_aphidicola_Baizongia_pistaciae	0.0219599297574348	0.006981665236971093
Buchnera_aphidicola_Sg	0.017580107568256162	0.01009483463943936
Burkholderia_mallei_ATCC23344	0.051079845992362094	0.013604478592674857
Burkholderia_pseudomallei_K96243	0.05317762757012176	0.013578640413924255
Caldivirga_maquilingensis	0.028093830110301872	0.015000421409498576
Campylobacter_jejuni	0.03480746910028132	0.011829496373506462
Candidatus_Blochmannia_floridanus	0.027817504050086185	0.009714001404962607
Candidatus_Pelagibacter_ubique	0.021909208437292382	0.013334997843789725
Carboxydothermus_hydrogenoformans	0.021425640080281992	0.006801196738732371
Caulobacter_crescentus	0.021106107583467943	0.010294042953796574
Chlamydia_pneumonia_A	0.022786141464511155	0.01349882008217875
Chlamydia_trachomatis	0.02458387325160403	0.012215611638898746
Chlamydia_trachomatis_M	0.024054586244685726	0.012341016238073594
Chlamydophila_abortus_S26_3	0.020312919864018626	0.010567552209435463
Chlamydophila_caviae_GPIC	0.016082907566724425	0.012968337244130162
Chlorobium_tepidum_TLS	0.028602149565417262	0.008605360997907055
Chloroflexus_aurantiacus	0.02386693167109018	0.010584421028676962
Chromobacterium_violaceum_ATCC12472	0.03960282804844613	0.011244814982419787
Clostridium_acetobutylicum_ATCC824	0.04080126985396242	0.007435337556343606
Clostridium_perfringens_13	0.04170485887801386	0.009454612667417895
Clostridium_tetani_E88	0.05248779428507787	0.009713669271781694
Colwellia_psychrerythraea	0.035721199452051905	0.008135864396704379
Corynebacterium_glutamicum	0.01740039913455	0.009330898290099364
Coxiella_burnetii_RSA_493	0.03186067374065911	0.008503028001059938
Dehalococcoides_ethenogenes_195	0.022110707969747814	0.012573215082319827
Deinococcus_radiodurans_chromosome1	0.013555395053408775	0.0057601224111678735
Delftia_acidovorans	0.02099384097148793	0.0093108169478794
Desulfotalea_psychrophila_LSv54	0.031498875534010845	0.009981226677267984
Desulfotomaculum_reducens	0.026180562362864007	0.005358721101760153
Desulfovibrio_vulgaris_vulgaris_Hildenborough	0.02530476268341997	0.006064902247166386
Dinoroseobacter_shibae	0.02144826529027846	0.005529263837903968
Ehrlichia_canis	0.00843877760455217	0.014373286233161866
Ehrlichia_chaffeensis	0.015240121855649724	0.013390909754604075
Enterobacter_sakazakii	0.021399234594930185	0.00789958312262317
Enterococcus_faecalis_V583	0.020496710641752507	0.010343773599839014
Erwinia_carotovora_atroseptica_SCRI1043	0.022996127261898824	0.008120942745178356
Escherichia_coli_MG1655	0.030684107236595527	0.006589254479861257
Francisella_tularensis	0.036484865969516084	0.012535940772621509
Fusobacterium_nucleatum	0.033773653154273955	0.005249240100542248
Geobacter_sulfurreducens_PCA	0.019899937392268644	0.01042678953997181
Gloeobacter_violaceus	0.007440332695251028	0.0067820124429499
Gluconobacter_oxydans_621H	0.023270539928161367	0.006901341012567409
Gramella_forsetii	0.023580903103623613	0.005278018279663118
Haemophilus_ducreyi_35000HP	0.025993194797118077	0.008704940612378071
Haemophilus_influenzae	0.030358772929798848	0.01054807400660013
Haloarcula_marismortui	0.03832510968193059	0.013658282364569906
